Barcode_ID	DrugMaster_Code_Key	Universal_Code_Key	IsGTIN	IsGTINOverride	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code
115	ACTO1	9321547004049	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
116	ACTO2	9321547004421	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
117	ACTO3	9323829002392	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
118	ACTO4	9323829002408	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
119	ACTO5	9323829002415	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
120	ACTO6	9321547977909	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
121	ACTO7	9319733000814	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
122	ACTO7	9319733000821	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
123	ACTO8	9319733001774	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
124	ACTO9	9319733001842	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
125	ACUL1	9315195221811	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
126	ACYC1	9300670290413	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
127	ACYC1	9323610000491	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
128	ACYC2	9300670290680	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
129	ACYC2	9323610000507	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
130	ACYC4	9300670290765	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
131	ACYC4	9323610000484	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
132	ACYC5	9323610000293	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
133	AD12	9317109001878	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
135	AD24	9316795004613	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
137	AD46	9322882000642	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
138	AD46	9322882009034	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
139	AD46	9331134001405	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
140	ADA2	9310160644923	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
141	ADA2	9310160810021	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
142	ADA4	9310160251305	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
143	ADA4	9310160810007	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
144	ADA5	9310160252654	1	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
145	ADA5	9310160809933	0	NULL	11365774	2011-10-27 00:00:00.000	2016-08-11 19:33:28.903	U	ODS
