GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
874	CERI3	CERIVASTATIN	NULL	42.00	CERIVASTATIN	CERIVASTATIN	313	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
875	CERT8	CERTOLIZUMAB PEGOL	NULL	1636.75	CERTOLIZUMAB PEGOL	CERTOLIZUMAB PEGOL	314	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
876	CETI1	CETIRIZINE	NULL	12.2682	CETIRIZINE	CETIRIZINE	315	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
877	CETI2	CETIRIZINE	NULL	20.20	CETIRIZINE	CETIRIZINE	315	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
878	CETI3	CETIRIZINE	NULL	19.0567	CETIRIZINE	CETIRIZINE	315	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
879	CETI4	CETIRIZINE	NULL	11.4053	CETIRIZINE	CETIRIZINE	315	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
880	CETI5	CETIRIZINE	NULL	19.8471	CETIRIZINE	CETIRIZINE	315	NULL	NULL	5695167	2011-04-09 00:00:00.000	2014-07-24 14:22:44.980	U	DW	NULL
5028	CETR1	CETRORELIX ACETATE	NULL	NULL	CETRORELIX	CETRORELIX ACETATE	316	NULL	NULL	5700648	2013-01-01 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
881	CETU1	CETUXIMAB	NULL	366.64		CETUXIMAB	317	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
882	CETU2	CETUXIMAB.	NULL	366.64	CETUXIMAB	CETUXIMAB.	318	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
